root,pos,common
kampo,N,True
kanti,VI,True
kapo,N,False
kapabla,A,False
kapti,VT,True
kara,A,True
karbo,N,False
karto,N,False
kasedo,N,False
kaŝi,VT,False
kato,N,False
kaŭzo,N,True
kazo,N,False
ke,misc,True
kelka,A,True
kia,A,True
kial,misc,True
kiam,misc,True
kie,misc,True
kiel,misc,True
kies,misc,True
kilogramo,N,False
kilometro,N,False
kio,N,True
kiom,misc,True
kiu,misc,True
kisi,VT,False
klara,A,True
klaso,N,True
klini,VT,False
klopodi,VI,False
klubo,N,True
knabo,N,True
kolo,N,False
kolekti,VT,True
koleri,VTI,False
koloro,N,True
kombi,VT,False
komenci,VT,True
komerci,VI,True
komforta,A,False
komisii,VT,False
komitato,N,False
kompari,VT,False
kompati,VT,False
kompreni,VT,True
komputi,VT,False
komuna,A,True
komuniki,VT,False
koni,VT,True
koncerni,VT,False
kondiĉo,N,False
konduki,VT,False
konfesi,VT,False
kongreso,N,True
konkreta,A,False
konsenti,VI,True
konservi,VT,False
konsideri,VT,False
konsili,VT,True
konsisti,VI,False
konstanta,A,False
konstrui,VT,True
kontakto,N,True
kontenta,A,True
kontraŭ,misc,True
kontroli,VT,False
konveni,VI,False
konvinki,VT,False
kopii,VT,False
koro,N,False
korbo,N,False
korespondi,VI,False
korpo,N,False
korto,N,False
kosti,VT,True
kostumo,N,False
koverto,N,False
kovri,VT,False
krajono,N,False
krei,VT,False
kredi,VT,True
kreski,VI,False
krii,VI,False
krom,misc,True
kruela,A,False
kruro,N,False
kudri,VT,False
kuiri,VT,True
kuko,N,False
kulero,N,False
kulpa,A,False
kulturi,VT,True
kun,misc,True
kupono,N,False
kuri,VI,False
kuraci,VT,False
kuraĝa,A,False
kurso,N,True
kuŝi,VI,True
kutimi,VT,False
kuzo,N,False
kvadrato,N,False
kvalito,N,False
kvankam,misc,False
kvanto,N,False
kvar,misc,True
kvazaŭ,misc,False
kvin,misc,True
la,A,True
labori,VI,True
laca,A,False
lago,N,True
lakto,N,True
lando,N,True
lango,N,False
larĝa,A,True
lasi,VT,True
lasta,A,True
laŭ,misc,True
lavi,VT,True
leciono,N,True
legi,VT,True
legomo,N,False
leĝo,N,False
lerni,VT,True
lerta,A,False
letero,N,True
levi,VT,True
li,VT,True
libera,A,True
libro,N,True
ligi,VT,True
ligno,N,False
limo,N,False
lingvo,N,True
linio,N,False
lipo,N,False
listo,N,False
lito,N,False
litero,N,False
literaturo,N,True
loĝi,VI,True
loko,N,True
longa,A,True
ludi,VI,True
lumo,N,False
luno,N,False
lundo,N,True
majo,N,True
mal-,pre,True
mano,N,True
manĝi,VT,True
maniero,N,True
manki,VI,True
mantelo,N,False
maro,N,True
mardo,N,True
marko,N,True
marŝi,VI,False
marto,N,True
mastro,N,False
maŝino,N,True
mateno,N,True
materialo,N,False
meblo,N,False
medio,N,False
mem,misc,True
membro,N,True
memoro,N,True
mendi,VT,False
menso,N,False
meriti,VT,False
merkredo,N,True
meti,VT,True
metalo,N,False
metodo,N,True
metro,N,False
mezo,N,True
mezuri,VT,False
mi,VT,True
miksi,VT,False
mil,misc,True
miliono,N,True
militi,VI,True
